female,age,equation,p10,p25,p50,p75,p90
0,40,ckd_epi_2009,83,92,104,110,115
0,40,ckd_epi_2021,87,96,109,114,117
0,40,ekfc,85,94,106,111,114
0,40,lund_malmo,77,83,90,97,104
0,41,ckd_epi_2009,82,91,104,109,114
0,41,ckd_epi_2021,86,96,108,113,117
0,41,ekfc,84,93,104,109,113
0,41,lund_malmo,76,82,90,97,104
0,42,ckd_epi_2009,82,91,102,109,113
0,42,ckd_epi_2021,86,95,107,112,116
0,42,ekfc,84,92,103,108,112
0,42,lund_malmo,76,82,89,96,103
0,43,ckd_epi_2009,81,90,102,108,112
0,43,ckd_epi_2021,85,94,106,112,115
0,43,ekfc,82,91,102,107,111
0,43,lund_malmo,75,81,89,96,103
0,44,ckd_epi_2009,80,89,102,107,112
0,44,ckd_epi_2021,84,94,106,111,114
0,44,ekfc,81,90,101,106,110
0,44,lund_malmo,74,81,88,95,102
0,45,ckd_epi_2009,79,89,100,106,111
0,45,ckd_epi_2021,83,93,104,110,114
0,45,ekfc,80,89,100,105,109
0,45,lund_malmo,74,80,88,95,101
0,46,ckd_epi_2009,79,88,99,105,110
0,46,ckd_epi_2021,83,93,104,110,113
0,46,ekfc,79,88,98,104,107
0,46,lund_malmo,73,80,87,94,101
0,47,ckd_epi_2009,78,87,99,105,109
0,47,ckd_epi_2021,82,92,104,109,112
0,47,ekfc,79,88,98,103,106
0,47,lund_malmo,73,79,87,94,100
0,48,ckd_epi_2009,77,87,98,104,108
0,48,ckd_epi_2021,82,91,103,108,112
0,48,ekfc,78,87,97,102,106
0,48,lund_malmo,72,79,86,93,100
0,49,ckd_epi_2009,77,86,98,103,108
0,49,ckd_epi_2021,81,91,102,108,111
0,49,ekfc,77,86,96,101,104
0,49,lund_malmo,72,78,86,92,99
0,50,ckd_epi_2009,76,86,96,103,108
0,50,ckd_epi_2021,81,90,102,107,110
0,50,ekfc,76,85,95,100,104
0,50,lund_malmo,71,78,85,92,99
0,51,ckd_epi_2009,76,85,97,102,107
0,51,ckd_epi_2021,80,90,102,106,110
0,51,ekfc,75,84,95,99,103
0,51,lund_malmo,71,77,84,92,98
0,52,ckd_epi_2009,75,84,96,101,106
0,52,ckd_epi_2021,80,89,101,106,109
0,52,ekfc,75,83,94,98,102
0,52,lund_malmo,70,77,84,90,98
0,53,ckd_epi_2009,75,84,95,101,105
0,53,ckd_epi_2021,79,89,101,105,109
0,53,ekfc,74,82,93,97,101
0,53,lund_malmo,70,76,83,90,97
0,54,ckd_epi_2009,74,83,95,100,105
0,54,ckd_epi_2021,78,88,100,105,108
0,54,ekfc,73,82,92,96,100
0,54,lund_malmo,69,76,82,90,96
0,55,ckd_epi_2009,73,83,94,100,104
0,55,ckd_epi_2021,78,88,99,104,107
0,55,ekfc,72,81,91,95,99
0,55,lund_malmo,68,75,82,89,96
0,56,ckd_epi_2009,72,82,93,99,103
0,56,ckd_epi_2021,77,87,99,103,107
0,56,ekfc,71,80,90,95,98
0,56,lund_malmo,68,74,81,89,95
0,57,ckd_epi_2009,72,81,93,98,102
0,57,ckd_epi_2021,76,86,98,103,106
0,57,ekfc,70,79,89,94,97
0,57,lund_malmo,67,74,81,88,94
0,58,ckd_epi_2009,71,81,92,97,102
0,58,ckd_epi_2021,76,86,98,102,106
0,58,ekfc,70,78,88,93,96
0,58,lund_malmo,66,73,80,87,93
0,59,ckd_epi_2009,70,80,91,97,101
0,59,ckd_epi_2021,75,85,97,102,105
0,59,ekfc,68,78,87,92,95
0,59,lund_malmo,66,72,79,86,92
